GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1355: Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,v_CA16_1364: English,v_CA16_2060: Cantonese,v_CA16_2066: Mandarin,v_CA16_2153: English and non-official language,v_CA16_1916: Punjabi (Panjabi),v_CA16_1937: Persian (Farsi),v_CA16_1973: Korean,"v_CA16_1727: Tagalog (Pilipino, Filipino)"
59150028014,DB,West Vancouver,0.01463,25,13,11,x,x,x,x,x,x,x,x,x
59150028015,DB,West Vancouver,0.0072,19,7,7,x,x,x,x,x,x,x,x,x
59150028017,DB,West Vancouver,0.0106,60,44,41,x,x,x,x,x,x,x,x,x
59150028018,DB,West Vancouver,0.05123,109,51,43,x,x,x,x,x,x,x,x,x
59150028019,DB,West Vancouver,0.01279,10,8,7,x,x,x,x,x,x,x,x,x
59150029001,DB,West Vancouver,0.01046,30,12,12,x,x,x,x,x,x,x,x,x
59150029002,DB,West Vancouver,0.02385,61,24,24,x,x,x,x,x,x,x,x,x
59150029003,DB,West Vancouver,0.01298,29,10,10,x,x,x,x,x,x,x,x,x
59150029005,DB,West Vancouver,0.02431,55,22,19,x,x,x,x,x,x,x,x,x
59150029006,DB,West Vancouver,0.02365,71,31,27,x,x,x,x,x,x,x,x,x
59150029007,DB,West Vancouver,0.02355,66,27,20,x,x,x,x,x,x,x,x,x
59150029008,DB,West Vancouver,0.02772,15,6,5,x,x,x,x,x,x,x,x,x
59150029010,DB,West Vancouver,0.03223,96,35,34,x,x,x,x,x,x,x,x,x
59150030001,DB,West Vancouver,0.011,19,7,7,x,x,x,x,x,x,x,x,x
59150030004,DB,West Vancouver,0.00834,21,12,9,x,x,x,x,x,x,x,x,x
59150030005,DB,West Vancouver,0.02345,61,24,23,x,x,x,x,x,x,x,x,x
59150030006,DB,West Vancouver,0.02704,49,20,16,x,x,x,x,x,x,x,x,x
59150030007,DB,West Vancouver,0.02367,68,25,23,x,x,x,x,x,x,x,x,x
59150030008,DB,West Vancouver,0.02413,70,25,23,x,x,x,x,x,x,x,x,x
59150030009,DB,West Vancouver,0.02707,50,25,17,x,x,x,x,x,x,x,x,x
59150030010,DB,West Vancouver,0.02386,47,22,19,x,x,x,x,x,x,x,x,x
59150030011,DB,West Vancouver,0.02324,50,24,18,x,x,x,x,x,x,x,x,x
59150030012,DB,West Vancouver,0.02658,66,31,25,x,x,x,x,x,x,x,x,x
59150030013,DB,West Vancouver,0.01109,5,2,2,x,x,x,x,x,x,x,x,x
59150031003,DB,West Vancouver,0.12033,187,82,68,x,x,x,x,x,x,x,x,x
59150031004,DB,West Vancouver,0.04407,65,25,24,x,x,x,x,x,x,x,x,x
59150031005,DB,West Vancouver,0.01528,24,7,7,x,x,x,x,x,x,x,x,x
59150031009,DB,West Vancouver,0.30337,404,158,137,x,x,x,x,x,x,x,x,x
59150031010,DB,West Vancouver,0.00921,0,0,0,x,x,x,x,x,x,x,x,x
59150032001,DB,West Vancouver,0.09446,80,26,22,x,x,x,x,x,x,x,x,x
59150032004,DB,West Vancouver,0.03806,37,15,12,x,x,x,x,x,x,x,x,x
59150032009,DB,West Vancouver,0.05158,45,22,20,x,x,x,x,x,x,x,x,x
59150032010,DB,West Vancouver,0.09923,105,36,31,x,x,x,x,x,x,x,x,x
59150032011,DB,West Vancouver,0.1293,133,45,42,x,x,x,x,x,x,x,x,x
59150033002,DB,West Vancouver,0.04086,56,18,18,x,x,x,x,x,x,x,x,x
59150033003,DB,West Vancouver,0.05246,51,16,12,x,x,x,x,x,x,x,x,x
59150033004,DB,West Vancouver,0.017,23,5,5,x,x,x,x,x,x,x,x,x
59150033007,DB,West Vancouver,0.0014,0,0,0,x,x,x,x,x,x,x,x,x
59150033008,DB,West Vancouver,0.32094,343,116,105,x,x,x,x,x,x,x,x,x
59150033009,DB,West Vancouver,0.04089,0,0,0,x,x,x,x,x,x,x,x,x
59150033010,DB,West Vancouver,0.01167,0,0,0,x,x,x,x,x,x,x,x,x
59150033011,DB,West Vancouver,0.00819,0,0,0,x,x,x,x,x,x,x,x,x
59150034001,DB,West Vancouver,0.2404,234,84,73,x,x,x,x,x,x,x,x,x
59150034002,DB,West Vancouver,0.04997,47,18,18,x,x,x,x,x,x,x,x,x
59150034003,DB,West Vancouver,0.10383,153,73,67,x,x,x,x,x,x,x,x,x
59150035005,DB,West Vancouver,0.03502,0,0,0,x,x,x,x,x,x,x,x,x
59150035008,DB,West Vancouver,0.05194,100,35,34,x,x,x,x,x,x,x,x,x
59150035011,DB,West Vancouver,0.00143,0,0,0,x,x,x,x,x,x,x,x,x
59150035012,DB,West Vancouver,0.03532,202,145,137,x,x,x,x,x,x,x,x,x
59150035013,DB,West Vancouver,0.0026,0,0,0,x,x,x,x,x,x,x,x,x
59150035014,DB,West Vancouver,0.02232,0,0,0,x,x,x,x,x,x,x,x,x
59150035015,DB,West Vancouver,0.22495,258,91,84,x,x,x,x,x,x,x,x,x
59150035016,DB,West Vancouver,0.4211,328,127,112,x,x,x,x,x,x,x,x,x
59150036001,DB,West Vancouver,0.02468,43,17,13,x,x,x,x,x,x,x,x,x
59150036002,DB,West Vancouver,0.02641,124,18,16,x,x,x,x,x,x,x,x,x
59150036003,DB,West Vancouver,0.01758,41,16,15,x,x,x,x,x,x,x,x,x
59150036004,DB,West Vancouver,0.03043,81,27,25,x,x,x,x,x,x,x,x,x
59150036005,DB,West Vancouver,0.04555,108,40,34,x,x,x,x,x,x,x,x,x
59150036006,DB,West Vancouver,0.03478,93,34,33,x,x,x,x,x,x,x,x,x
59150036007,DB,West Vancouver,0.03114,85,34,31,x,x,x,x,x,x,x,x,x
59150037001,DB,West Vancouver,0.01953,39,19,15,x,x,x,x,x,x,x,x,x
59150037002,DB,West Vancouver,0.01993,45,21,19,x,x,x,x,x,x,x,x,x
59150037003,DB,West Vancouver,0.0199,54,21,20,x,x,x,x,x,x,x,x,x
59150037004,DB,West Vancouver,0.01973,68,26,24,x,x,x,x,x,x,x,x,x
59150037005,DB,West Vancouver,0.0287,80,30,28,x,x,x,x,x,x,x,x,x
59150037006,DB,West Vancouver,0.07328,125,48,42,x,x,x,x,x,x,x,x,x
59150037007,DB,West Vancouver,0.01788,37,11,11,x,x,x,x,x,x,x,x,x
59150038001,DB,West Vancouver,0.0299,88,30,28,x,x,x,x,x,x,x,x,x
59150038002,DB,West Vancouver,0.02918,82,30,29,x,x,x,x,x,x,x,x,x
59150038003,DB,West Vancouver,0.02895,88,28,26,x,x,x,x,x,x,x,x,x
59150038004,DB,West Vancouver,0.02948,85,30,29,x,x,x,x,x,x,x,x,x
59150038005,DB,West Vancouver,0.02705,71,26,24,x,x,x,x,x,x,x,x,x
59150039001,DB,West Vancouver,0.02084,54,21,18,x,x,x,x,x,x,x,x,x
59150039002,DB,West Vancouver,0.01977,70,20,20,x,x,x,x,x,x,x,x,x
59150039003,DB,West Vancouver,0.02054,68,24,21,x,x,x,x,x,x,x,x,x
59150039004,DB,West Vancouver,0.00507,10,3,3,x,x,x,x,x,x,x,x,x
59150039005,DB,West Vancouver,0.0186,61,22,21,x,x,x,x,x,x,x,x,x
59150039006,DB,West Vancouver,0.01948,65,24,24,x,x,x,x,x,x,x,x,x
59150039007,DB,West Vancouver,0.01995,53,20,19,x,x,x,x,x,x,x,x,x
59150040003,DB,West Vancouver,0.02198,0,0,0,x,x,x,x,x,x,x,x,x
59150040004,DB,West Vancouver,0.01257,37,15,14,x,x,x,x,x,x,x,x,x
59150040005,DB,West Vancouver,0.01313,33,14,14,x,x,x,x,x,x,x,x,x
59150040006,DB,West Vancouver,0.01282,18,9,9,x,x,x,x,x,x,x,x,x
59150040009,DB,West Vancouver,0.06338,317,278,261,x,x,x,x,x,x,x,x,x
59150041004,DB,West Vancouver,0.03973,111,37,35,x,x,x,x,x,x,x,x,x
59150041006,DB,West Vancouver,0.22566,341,123,114,x,x,x,x,x,x,x,x,x
59150042001,DB,West Vancouver,0.06157,117,40,36,x,x,x,x,x,x,x,x,x
59150042002,DB,West Vancouver,0.01598,42,15,12,x,x,x,x,x,x,x,x,x
59150042006,DB,West Vancouver,0.01082,25,13,10,x,x,x,x,x,x,x,x,x
59150042007,DB,West Vancouver,0.01057,25,9,9,x,x,x,x,x,x,x,x,x
59150042008,DB,West Vancouver,0.00973,21,10,10,x,x,x,x,x,x,x,x,x
59150042011,DB,West Vancouver,0.07155,152,57,54,x,x,x,x,x,x,x,x,x
59150043004,DB,West Vancouver,0.04974,535,365,359,x,x,x,x,x,x,x,x,x
59150044001,DB,West Vancouver,0.01022,0,0,0,x,x,x,x,x,x,x,x,x
59150044002,DB,West Vancouver,0.01555,142,84,81,x,x,x,x,x,x,x,x,x
59150044003,DB,West Vancouver,0.01484,346,248,202,x,x,x,x,x,x,x,x,x
59150045001,DB,West Vancouver,0.0184,286,188,180,x,x,x,x,x,x,x,x,x
