GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1355: Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,v_CA16_1364: English,v_CA16_2060: Cantonese,v_CA16_2066: Mandarin,v_CA16_2153: English and non-official language,v_CA16_1916: Punjabi (Panjabi),v_CA16_1937: Persian (Farsi),v_CA16_1973: Korean,"v_CA16_1727: Tagalog (Pilipino, Filipino)"
9330186.06,CT,Surrey,1.28219,4206,1174,1096,4205,1330,5,5,645,1875,10,0,15
9330186.07,CT,Surrey,1.31071,5886,1583,1488,5865,1920,15,5,850,2485,20,0,65
9330186.08,CT,Surrey,1.30317,6646,2035,1923,6610,2840,35,65,875,1805,40,10,170
9330187.03,CT,Surrey,2.58115,7767,2430,2262,7760,3805,125,115,985,1665,40,75,225
9330187.04,CT,Surrey,1.22853,1707,462,433,1580,655,15,5,225,460,0,0,40
9330187.05,CT,Surrey,1.30964,7419,2184,1953,7410,2445,55,35,1145,2940,50,10,130
9330187.06,CT,Surrey,2.59674,6970,2183,2065,6775,3885,145,240,865,695,25,110,135
9330187.07,CT,Surrey,0.66416,2013,602,577,2010,1280,45,115,185,180,0,50,30
9330187.11,CT,Surrey,1.3857,6577,2244,2207,6575,3645,95,405,865,360,25,285,340
9330187.12,CT,Surrey,1.14835,4254,1408,1360,4250,2520,95,140,490,390,15,40,110
9330187.13,CT,Surrey,1.10751,3915,1308,1167,3915,2025,50,135,570,630,25,10,80
9330187.14,CT,Surrey,0.64577,3822,1386,1372,3560,2065,40,325,405,80,10,215,135
9330187.15,CT,Surrey,0.6979,4078,1240,1174,3820,1940,35,385,430,485,5,190,70
9330187.16,CT,Surrey,0.90313,3082,946,910,3080,1935,40,230,280,225,10,95,60
9330188.01,CT,Surrey,3.24027,3094,925,876,3095,1735,50,505,295,75,10,220,20
9330188.02,CT,Surrey,1.06859,3034,921,851,3030,1580,115,425,330,130,0,140,35
9330188.04,CT,Surrey,3.86936,3998,1299,1163,3990,2315,75,185,440,480,20,75,50
9330188.05,CT,Surrey,7.20256,2724,839,783,2725,1715,75,360,210,80,15,120,20
9330188.06,CT,Surrey,4.10375,1484,514,460,1485,1100,5,65,105,65,0,70,5
9330188.07,CT,Surrey,2.71778,4309,1281,1217,4310,2350,100,800,340,70,15,335,45
9330188.08,CT,Surrey,1.2783,3840,1181,1149,3835,2065,100,870,260,50,10,250,15
9330189.03,CT,Surrey,1.58068,3389,1172,1099,3385,2450,45,60,255,110,5,20,125
9330189.05,CT,Surrey,1.34136,8245,3623,3535,8245,4715,110,410,985,115,25,345,445
9330189.06,CT,Surrey,2.4145,3227,1076,1013,3210,1740,55,130,435,190,0,50,165
